Dynamic Supplier Code,Name,Reseller Price Ex GST,Manufacturer,Category,Weight,Manufacturer OEM Code,Printer Compatibility,Cartridge Yield,Cartridge Type,/////,////,Length,Width,Height,Brisbane,Melbourne,Perth,Adelaide,Sydney,Barcode
CPHT541,Compat CB541A #125A Cyan Cart,33.06,White Box,CON-LASER,0.71,CPHT541,"HP COLOR LASERJET CP1215,HP COLOR LASERJET CP1515,HP COLOR LASERJET CP1518NI,HP COLOR LASERJET CM1312,HP COLOR LASERJET CP1210,CANON LASER SHOT LBP5050N,CANON IMAGECLASS MF8050CN","1,400 pages",Cyan,0.00399,WHT-CP-LAS,0.11,0.33,0.11,>5,>5,>5,3,>5,
CPHT542,Compat CB542A #125A Yell Cart,33.06,White Box,CON-LASER,0.71,CPHT542,"HP COLOR LASERJET CP1215,HP COLOR LASERJET CP1515,HP COLOR LASERJET CP1518NI,HP COLOR LASERJET CM1312,HP COLOR LASERJET CP1210,CANON LASER SHOT LBP5050N,CANON IMAGECLASS MF8050CN","1,400 pages",Yellow,0.00399,WHT-CP-LAS,0.11,0.33,0.11,4,>5,2,3,>5,
CPHT543,Compat CB543A #125A Mag Cart,33.06,White Box,CON-LASER,0.71,CPHT543,"HP COLOR LASERJET CP1215,HP COLOR LASERJET CP1515,HP COLOR LASERJET CP1518NI,HP COLOR LASERJET CM1312,HP COLOR LASERJET CP1210,CANON LASER SHOT LBP5050N,CANON IMAGECLASS MF8050CN","1,400 pages",Magenta,0.00399,WHT-CP-LAS,0.11,0.33,0.11,>5,>5,0,4,>5,
CPHT64X,Compat CC364X #64X Black Cart,92.5,White Box,CON-LASER,2.76,CPHT64X,"HP LASERJET P4015,HP LASERJET P4510,HP LASERJET P4515","24,000 pages",Black,0.0189,WHT-CP-LAS,0.18,0.35,0.3,4,>5,>5,0,>5,
CPHT78,Compat CE278A #78A Black Cart,28.5,White Box,CON-LASER,0.77,CPHT78,"CANON IMAGECLASS MF4420N,CANON IMAGECLASS MF4550D,CANON IMAGECLASS MF4570DN,CANON IMAGECLASS MF4580DN,HP LASERJET PRO M1536DNF,HP LASERJET PRO P1566,HP LASERJET PRO P1606DN","2,100 pages",Black,0.0049,WHT-CP-LAS,0.34,0.12,0.12,>5,>5,>5,>5,>5,6.95553E+12
CPHT79,Compat CF279A #79A Black Cart,24.5,White Box,CON-LASER,0.72,CPHT79,"HP LASERJET PRO M12A,HP LASERJET PRO M12W,HP LASERJET PRO MFP M26A,HP LASERJET PRO MFP M26NW","1,000 pages",Black,0.00436,WHT-CP-LAS,0.12,0.11,0.33,0,0,0,0,>5,
CPHT80X,Compat CF280X #80X Black Cart,56.5,White Box,CON-LASER,1.25,CPHT80X,"HP LASERJET PRO 400 M425,HP LASERJET PRO 400 M401","6,900 pages",Black,0.00821,WHT-CP-LAS,0.36,0.12,0.19,>5,0,0,>5,0,6.95553E+12
CPHT83X,Compat CF283X #83X Black Cart,42,White Box,CON-LASER,0.75,CPHT83X,"HP LASERJET PRO MFP M201,HP LASERJET PRO MFP M225","2,200 pages",Black,0.00501,WHT-CP-LAS,0.11,0.35,0.13,1,0,>5,>5,0,6.95553E+12
CPHT85,Compat CE285A #85A Black Cart,23.63,White Box,CON-LASER,0.745,CPHT85,"HP LASERJET PRO M1212NF,HP LASERJET PRO P1102,HP LASERJET PRO P1102W,CANON LASER SHOT LBP6000","1,600 pages",Black,0.0049,WHT-CP-LAS,0.34,0.12,0.12,>5,0,>5,>5,1,6.95553E+12
CPHT87X,Compat CF287X #87X Black Cart,105,White Box,CON-LASER,0,CPHT87X,"HP LASERJET ENTERPRISE M506,HP LASERJET ENTERPRISE M527F,HP LASERJET PRO M501","18,000 pages",Black,0,WHT-CP-LAS,0,0,0,0,0,0,0,0,
CPIP110,Canon PIXMA MOBILE IP110,278,Canon,HW-INK,4,IP110,,,Hardware,0.0179,CAN-HW,0.39,0.17,0.27,>5,>5,0,2,>5,4.54929E+12
CPIP7260,Canon IP7260 Advanced Inkjet,90.5,Canon,HW-INK,8.06,IP7260,,,Hardware,0.04554,CAN-HW,0.51,0.19,0.47,>5,5,0,4,>5,4.961E+12
CPIP8760,Canon IP8760 Advanced Inkjet,268.5,Canon,HW-A3,10.66,IP8760,,,Hardware,0.08073,CAN-HW,0.27,0.65,0.46,>5,>5,0,0,5,4.961E+12
CPIX6860,Canon IX6860 Advanced Inkjet,138.5,Canon,HW-A3,10,IX6860,,,Hardware,0.07547,CAN-HW,0.65,0.27,0.43,>5,>5,3,>5,5,4.961E+12
CPL150,Canon L150 Fax,524.5,Canon,HW-LASER,11,L150,,, ,0.08266,CAN-HW,0.48,0.42,0.41,5,3,0,0,3,4.961E+12
CPLBP251DW,Canon LBP251DW Laser Printer,356,Canon,HW-LASER,16,LBP251DW,,,Hardware,0.14278,CAN-HW,0.59,0.55,0.44,5,>5,0,2,2,4.54929E+12
CPLBP253X,Canon LBP253X Laser Printer,757,Canon,HW-LASER,16,LBP253X,,,Hardware,0.11907,CAN-HW,0.45,0.49,0.54,1,0,0,0,1,4.54929E+13
CPLBP351X,Canon LBP351X Laser Printer,"1,317",Canon,HW-LASER,0,LBP351X,,,Hardware,0,CAN-HW,0,0,0,0,0,0,0,0,
CPLBP352X,Canon LBP352X Laser Printer,"1,529",Canon,HW-LASER,0,LBP352X,,,Hardware,0,CAN-HW,0,0,0,0,0,0,0,0,
CPLBP6780X,Canon LBP6780X W'Horse Laser,975,Canon,HW-LASER,18,LBP6780X,,,Hardware,0.07022,CAN-HW,0.43,0.46,0.355,0,0,0,0,0,4.961E+12
CPLBP7680CX,Canon LBP7680CX W'Horse Laser,825,Canon,HW-LASER,31,LBP7680CX,,,Hardware,0.15401,CAN-HW,0.62,0.54,0.46,1,1,0,0,0,4.961E+12
CPLBP841CDN,Canon LBP841CDN Laser,"1,557",Canon,HW-A3,35,LBP841CDN,,,Hardware,0.1221,CAN-HW,0.6,0.55,0.37,0,0,0,0,0,4.54929E+12
CPLBP8780X,Canon LBP8780x  Laser,"1,425",Canon,HW-A3,34,LBP8780X,,,Hardware,0.22384,CAN-HW,0.665,0.66,0.51,0,0,0,0,0,4.961E+12
CPMB2760,Canon Office Maxify MB2760,133.5,Canon,HW-INK,17,MB2760,,,Hardware,0.11929,CAN-HW,0.47,0.47,0.54,>5,0,>5,>5,0,4.54929E+12
CPMB5460,Canon Office MAXIFY MB5460,190.5,Canon,HW-INK,18,MB5460,,,Hardware,0.12944,CAN-HW,0.54,0.47,0.51,>5,>5,>5,>5,>5,4.54929E+12
CPMF249DW,Canon MF249DW Laser,487,Canon,HW-LASER,18,MF249DW,,,Hardware,0.1272,CAN-HW,0.53,0.5,0.48,2,4,1,0,5,4.54929E+12
CPMF416DW,Canon MF416DW Laser Printer,712,Canon,HW-LASER,25,MF416DW,,,Hardware,0.1485,CAN-HW,0.55,0.5,0.54,4,2,1,1,2,4.54929E+12
CPMF419X,Canon MF419X Laser Printer,910,Canon,HW-LASER,29,MF419X,,,Hardware,0.18833,CAN-HW,0.57,0.56,0.59,1,1,0,0,0,4.54929E+12
CPMF729CX,Canon MF729CX MFP,900,Canon,HW-LASER,40,MF-729CX,,,Hardware,0.18172,CAN-HW,0.59,0.55,0.56,2,2,2,0,1,4.54929E+12
CPMF810CDN,Canon MF810CDN Colour Laser,"2,250.50",Canon,HW-LASER,65,MF810CDN,,,Hardware,0.37485,CAN-HW,0.63,0.7,0.85,0,0,0,0,0,4.54929E+12
CPMG2560,Canon PIXMA HOME MG2560,29.5,Canon,HW-INK,4.41,MG2560,,,Hardware,0.03283,CAN-HW,0.48,0.19,0.36,>5,>5,>5,4,>5,4.961E+12
CPMG3060,Canon PIXMA HOME MG3060BK,49,Canon,HW-INK,5,MG3060BK,,,Hardware,0.03374,CAN-HW,0.48,0.19,0.37,>5,>5,>5,>5,>5,4.54929E+12
CPMG3660BK,Canon PIXMA HOME MG3660BK,50,Canon,HW-INK,8,MG3660BK,,,Hardware,0.04485,CAN-HW,0.5,0.23,0.39,>5,>5,>5,5,>5,4.54929E+12
CPMG7760BK,Canon PIXMA HOME MG7760BK,139,Canon,HW-INK,10,MG7760BK,,,Hardware,0.05377,CAN-HW,0.47,0.22,0.52,>5,>5,>5,>5,>5,4.54929E+12
CPMG7760W,Canon PIXMA HOME MG7760W,139,Canon,HW-INK,10,MG7760W,,,Hardware,0.05132,CAN-HW,0.47,0.52,0.21,>5,>5,>5,>5,>5,4.54929E+12
CPMX496,Canon HOME OFFICE MX496,51,Canon,HW-INK,9,MX496,,,Hardware,0.05291,CAN-HW,0.26,0.55,0.37,>5,>5,3,>5,>5,4.54929E+12
CPMX926,Canon HOME OFFICE MX926,132.5,Canon,HW-INK,15,MX926,,, ,0.084,CAN-HW,0.56,0.3,0.5,>5,>5,0,0,>5,4.961E+12
CPP301100,Canon 4x6 Glossy Photo Paper,15.66,Canon,CON-PAPER,0.45,PP3014X6-100,,100 sheets,Paper Product,0.00061,CAN-PAP,0.11,0.03,0.185,>5,>5,>5,>5,>5,4.54929E+12
CPP30120,Canon 4x6 Glossy Photo Paper,6.63,Canon,CON-PAPER,0.115,PP3014X6-20,,20 sheets,Paper Product,0.00023,CAN-PAP,0.12,0.01,0.19,>5,>5,>5,>5,>5,4.54929E+12
CPP30150,Canon 4x6 Glossy Photo Paper,12.04,Canon,CON-PAPER,0.24,PP3014X6-50,,50 sheets,Paper Product,0.00021,CAN-PAP,0.01,0.11,0.19,>5,>5,>5,>5,>5,4.54929E+12
CPP301A320,Canon A3 Photo Plus Glossy 20p,28.91,Canon,CON-PAPER,0.9,PP301A3,,20 sheets,Paper Product,0.00148,CAN-PAP,0.454,0.327,0.01,>5,>5,>5,2,>5,4.54929E+12
CPP301A420,Canon A4 Photo Plus Glossy 20p,15.07,Canon,CON-PAPER,0.425,PP301A4,,20 sheets,Paper Product,0.00294,CAN-PAP,0.32,0.23,0.04,>5,>5,>5,>5,>5,4.54929E+12
CPPRO1,Canon Pro1 Inkjet,"1,093",Canon,HW-A3,28,PRO-1,,,Hardware,0.18295,CAN-HW,0.77,0.66,0.36,1,1,0,0,0,4.961E+12
CPPRO100S,Canon PRO100S Pro Inkjet,582.5,Canon,HW-A3,26,PRO100S,,, ,0.14236,CAN-HW,0.79,0.53,0.34,1,2,0,0,1,4.54929E+12
CPPRO10S,Canon PRO10S Pro Inkjet,728.5,Canon,HW-A3,26,PRO10S,,, ,0.14236,CAN-HW,0.79,0.53,0.34,1,2,1,1,2,4.54929E+12
CPR20150,Canon 4x6 Photo Pro II 50sh,21.55,Canon,CON-PAPER,0.229,PR2014X6-50,,50 sheets,Paper Product,0.00036,CAN-PAP,0.165,0.11,0.02,1,>5,0,0,0,4.961E+12
CPT10120,Canon 4x6 Pro Platinum 20sh,10.2,Canon,CON-PAPER,0.127,PT1014X6-20,,20 sheets,Paper Product,0.00111,CAN-PAP,0.185,0.12,0.05,0,>5,0,0,0,4.961E+12
CPT10150,Canon 4x6 Pro Platinum 50sh,23.95,Canon,CON-PAPER,0.27,PT1014X6-50,,50 sheets,Paper Product,0.00041,CAN-PAP,0.185,0.11,0.02,0,>5,0,0,0,13803092868
CPT101A3,Canon A3 Pro Platinum 20sh,39.45,Canon,CON-PAPER,0.67,PT101A3,,20 sheets,Paper Product,0.00289,CAN-PAP,0.312,0.02,0.463,0,>5,0,0,0,13803092899
CPT101A3PLUS,Canon A3+ Pro Platinum 10sh,32.85,Canon,CON-PAPER,0.65,PT101A3+,,10 sheets,Paper Product,0.00003,CAN-PAP,0.046,0.031,0.02,0,0,0,0,0,13803092905
CPT101A4,Canon A4 Pro Platinum 20sh,19.15,Canon,CON-PAPER,0.478,PT101A4,,20 sheets,Paper Product,0.00008,CAN-PAP,0.325,0.235,0.001,>5,>5,>5,>5,>5,13803092882
CPTS5060BK,Canon PIXMA HOME TS5060BK,64,Canon,HW-INK,8,TS5060BK,,,Hardware,0.0396,CAN-HW,0.45,0.2,0.44,>5,>5,0,0,>5,4.54929E+12
CPTS5060W,Canon PIXMA HOME TS5060W,64,Canon,HW-INK,8,TS5060W,,,Hardware,0.0396,CAN-HW,0.45,0.2,0.44,>5,>5,1,1,>5,4.54929E+12
CPTS6060BK,Canon PIXMA HOME TS6060BK,88,Canon,HW-INK,5.5,TS6060BK,,,Hardware,0.04158,CAN-HW,0.21,0.45,0.44,>5,>5,0,0,>5,4.54929E+12
CPTS6060W,Canon PIXMA HOME TS6060W,88,Canon,HW-INK,9,TS6060W,,,Hardware,0.04158,CAN-HW,0.45,0.21,0.44,>5,>5,0,0,>5,4.54929E+12
CRP108,Canon RP108 Ink & Paper Pk,28.29,Canon,CON-INK,0.69,RP108,"CANON CP910,CANON CP1200BK",108 sheets,Paper Product,0.00199,CAN-PAP,0.117,0.085,0.2,>5,>5,>5,>5,>5,4.961E+12
CRP54,Canon RP54 Ink & Paper Pk,18.26,Canon,CON-INK,0.35,RP54,CANON CP1200BK,54 sheets,Paper Product,0.00103,CAN-PAP,0.117,0.044,0.2,>5,>5,5,2,>5,4.961E+12
CSCS9000F,Canon CS9000F Scanner,284.5,Canon,HW-SCANNER,5,CS9000FMKII,,,Hardware,0.0399,CAN-HW,0.56,0.19,0.375,0,3,1,1,1,4.961E+12
CSDRC225,Canon DRC225 Scanner,338,Canon,HW-SCANNER,4.5,DR-C225,,,Hardware,0.0312,CAN-HW,0.32,0.25,0.39,3,0,1,2,>5,4.52847E+12
CSDRC225W,Canon DRC225 Wireless Scanner,405.5,Canon,HW-SCANNER,4.37,DR-C225W,,,Hardware,0.02902,CAN-HW,0.39,0.24,0.31,>5,5,3,3,>5,4.52847E+12
CSG201,Canon A4 Semi Gloss Photopaper,16.15,Canon,CON-PAPER,0.47,SG201A4,,20 sheets,Paper Product,0.0004,CAN-PAP,0.335,0.24,0.005,>5,>5,>5,>5,>5,4.961E+12
CSG2014X6,Canon 4x6 260gsm Semi Gloss,6.6,Canon,CON-PAPER,0.15,SG2014X6,,20 Sheets,Paper Product,0.00012,CAN-PAP,0.21,0.146,0.004,>5,>5,>5,>5,>5,4.961E+12
CSG201A3,Canon A3 Semi Gloss Photopaper,36.55,Canon,CON-PAPER,0.977,SG201A3,,20 sheets,Paper Product,0.01247,CAN-PAP,0.297,0.42,0.1,>5,>5,>5,0,>5,4.961E+12
CSLIDE120,Canon LIDE120 Scanner,97,Canon,HW-SCANNER,2.32,LIDE120,,,Hardware,0.01296,CAN-HW,0.09,0.45,0.32,4,>5,3,1,>5,4.54929E+12
CSLIDE220,Canon LIDE220 Scanner,119.5,Canon,HW-SCANNER,3,LIDE220,,,Hardware,0.01296,CAN-HW,0.45,0.09,0.32,>5,>5,1,1,>5,4.54929E+12
CSP208,Canon P208 Scanner,202.5,Canon,HW-SCANNER,1.018,P-208II,,,Hardware,0.00608,CAN-HW,0.12,0.13,0.39,1,1,1,0,1,4.52847E+12
CTG18,Canon TG18 GPR6 Toner Cart,38.1,Canon,CON-COPIER,1.35,TG-18,"CANON IMAGERUNNER 2200,CANON IMAGERUNNER 2220I,CANON IMAGERUNNER 2800,CANON IMAGERUNNER 3300,CANON IMAGERUNNER 3320","15,000 pages",Black,0.00702,CAN-COP,0.4,0.13,0.135,5,>5,4,0,2,4.961E+12
CTG20,Canon TG20 GPR8 Toner Cart,37.9,Canon,CON-COPIER,0.716,TG-20,"CANON IMAGERUNNER 1600,CANON IMAGERUNNER 1610,CANON IMAGERUNNER 2000,CANON IMAGERUNNER 2010","7,850 pages",Black,0.00274,CAN-COP,0.435,0.07,0.09,0,0,0,0,0,13803001730
CTG22C,Canon TG22 GPR11 Cyan Toner,29.5,Canon,CON-COPIER,1.4,TG-22C,"CANON IMAGERUNNER C2620,CANON IMAGERUNNER C3200,CANON IMAGERUNNER C3220,CANON IMAGERUNNER C3225,CANON IMAGERUNNER C3250","25,000 pages",Cyan,0.01354,CAN-COP,0.563,0.13,0.185,1,0,0,0,1,13803023930
CTG25,Canon TG25 GPR15 Black Toner,53.05,Canon,CON-COPIER,1.606,TG-25,"CANON IMAGERUNNER 2270,CANON IMAGERUNNER 2870,CANON IMAGERUNNER 3025,CANON IMAGERUNNER 3030,CANON IMAGERUNNER 3225,CANON IMAGERUNNER 3230","21,000 pages",Black,0.00499,CAN-COP,0.475,0.1,0.105,>5,>5,0,0,>5,13803046120
CTG26,Canon TG26 GPR16  Black Toner,56.95,Canon,CON-COPIER,1.766,TG-26,"CANON IMAGERUNNER 3035,CANON IMAGERUNNER 3045,CANON IMAGERUNNER 3235,CANON IMAGERUNNER 3245,CANON IMAGERUNNER 3570,CANON IMAGERUNNER 4570,CANON","24,000 pages",Black,0.00529,CAN-COP,0.48,0.105,0.105,5,>5,2,0,>5,13803046168
CTG28,Canon TG28 GPR18  Black Toner,27.05,Canon,CON-COPIER,0.73,TG-28,"CANON IMAGERUNNER 2016,CANON IMAGERUNNER 2018,CANON IMAGERUNNER 2020,CANON IMAGERUNNER 2022,CANON IMAGERUNNER 2025,CANON IMAGERUNNER 2028","8,300 pages",Black,0.00262,CAN-COP,0.44,0.085,0.07,>5,>5,>5,0,>5,4.961E+12
CTG32,Canon TG32 GPR22 Black Toner,39.85,Canon,CON-COPIER,1,TG-32,"CANON IMAGERUNNER 1018,CANON IMAGERUNNER 1020,CANON IMAGERUNNER 1022F,CANON IMAGERUNNER 1024,CANON IMAGERUNNER 1024IF","8,400 pages",Black,0.001,CAN-COP,0.1,0.1,0.1,>5,>5,4,0,>5,13803069020
CTG35B,Canon TG35 GPR23 Black Toner,54.05,Canon,CON-COPIER,1,TG-35B,"CANON IMAGERUNNER C2550,CANON IMAGERUNNER C2550I,CANON IMAGERUNNER C2880,CANON IMAGERUNNER C3080I,CANON IMAGERUNNER C3380,CANON IMAGERUNNER C3580I","26,000 pages",Black,0.00467,CAN-COP,0.183,0.131,0.195,>5,>5,2,0,>5,4.961E+12
CTG35C,Canon TG35 GPR23 Cyan Toner,93.95,Canon,CON-COPIER,0.5,TG-35C,"CANON IMAGERUNNER C2550,CANON IMAGERUNNER C2550I,CANON IMAGERUNNER C2880,CANON IMAGERUNNER C3080I,CANON IMAGERUNNER C3380,CANON IMAGERUNNER C3580I","14,000 pages",Cyan,0.00276,CAN-COP,0.185,0.098,0.152,>5,>5,>5,0,>5,4.961E+12
CTG35M,Canon TG35 GPR23 Mag Toner,93.95,Canon,CON-COPIER,0.5,TG-35M,"CANON IMAGERUNNER C2550,CANON IMAGERUNNER C2550I,CANON IMAGERUNNER C2880,CANON IMAGERUNNER C3080I,CANON IMAGERUNNER C3380,CANON IMAGERUNNER C3580I","14,000 pages",Magenta,0.00276,CAN-COP,0.185,0.098,0.152,>5,>5,>5,0,>5,4.961E+12
CTG35Y,Canon TG35 GPR23 Yellow Toner,93.95,Canon,CON-COPIER,0.5,TG-35Y,"CANON IMAGERUNNER C2550,CANON IMAGERUNNER C2550I,CANON IMAGERUNNER C2880,CANON IMAGERUNNER C3080I,CANON IMAGERUNNER C3380,CANON IMAGERUNNER C3580I","14,000 pages",Yellow,0.00276,CAN-COP,0.185,0.098,0.152,>5,>5,3,0,>5,4.961E+12
CTG36,Canon TG36 GPR24 Black Toner,49,Canon,CON-COPIER,2.95,TG-36,"CANON IMAGERUNNER 5055,CANON IMAGERUNNER 5056,CANON IMAGERUNNER 5065,CANON IMAGERUNNER 5075","48,000 pages",Black,0.00758,CAN-COP,0.485,0.125,0.125,>5,>5,0,0,>5,13803078077
CTG39B,Canon TG39 GPR26 BK Toner,20,Canon,CON-COPIER,2.8,TG-39B,"CANON IMAGERUNNER C5800,CANON IMAGERUNNER C5870,CANON IMAGERUNNER C6800,CANON IMAGERUNNER C6870,CANON IMAGERUNNER C5880","40,000 pages",Black,0.00941,CAN-COP,0.48,0.14,0.14,1,>5,0,0,0,4.961E+12
CTG41B,Canon TG41 GPR28 Black Toner,111,Canon,CON-COPIER,1.48,TG-41B,"CANON IMAGERUNNER C1021,CANON IMAGERUNNER 1028IF,CANON IMAGERUNNER C1028,CANON IMAGERUNNER C2110,CANON IMAGECLASS MF9300","6,000 pages",Black,0.01071,CAN-COP,0.425,0.12,0.21,>5,>5,0,0,>5,4.961E+12
CTG41C,Canon TG41 GPR28 Cyan Toner,142.5,Canon,CON-COPIER,1.48,TG-41C,"CANON IMAGERUNNER C1021,CANON IMAGERUNNER 1028IF,CANON IMAGERUNNER C1028,CANON IMAGERUNNER C2110,CANON IMAGECLASS MF9300","6,000 pages",Cyan,0.01033,CAN-COP,0.42,0.12,0.205,3,5,0,1,1,13803090949
CTG41M,Canon TG41 GPR28 Mag Toner,142.5,Canon,CON-COPIER,1.48,TG-41M,"CANON IMAGERUNNER C1021,CANON IMAGERUNNER 1028IF,CANON IMAGERUNNER C1028,CANON IMAGERUNNER C2110,CANON IMAGECLASS MF9300","6,000 pages",Magenta,0.01033,CAN-COP,0.42,0.12,0.205,>5,4,0,0,1,13803090932
CTG41Y,Canon TG41 GPR28 Yellow Toner,142.5,Canon,CON-COPIER,1.48,TG-41Y,"CANON IMAGERUNNER C1021,CANON IMAGERUNNER 1028IF,CANON IMAGERUNNER C1028,CANON IMAGERUNNER C2110,CANON IMAGECLASS MF9300","6,000 pages",Yellow,0.01033,CAN-COP,0.42,0.12,0.205,>5,4,0,0,2,4.961E+12
CTG45B,Canon TG45 GPR30 Black Toner,106.5,Canon,CON-COPIER,1.314,TG45B,"CANON IMAGERUNNER C5045,CANON IMAGERUNNER C5051,CANON IMAGERUNNER C5250,CANON IMAGERUNNER C5255","44,000 pages",Black,0.00437,CAN-COP,0.54,0.09,0.09,>5,>5,>5,0,>5,4.961E+12
CTG45C,Canon TG45 GPR30 Cyan Toner,149.2,Canon,CON-COPIER,0.906,TG45C,"CANON IMAGERUNNER C5045,CANON IMAGERUNNER C5051,CANON IMAGERUNNER C5250,CANON IMAGERUNNER C5255","38,000 pages",Cyan,0.00346,CAN-COP,0.54,0.08,0.08,>5,>5,>5,0,>5,13803112900
CTG45M,Canon TG45 GPR30 Mag Toner,149.2,Canon,CON-COPIER,0.906,TG45M,"CANON IMAGERUNNER C5045,CANON IMAGERUNNER C5051,CANON IMAGERUNNER C5250,CANON IMAGERUNNER C5255","38,000 pages",Magenta,0.00346,CAN-COP,0.54,0.08,0.08,>5,>5,2,0,>5,4.961E+12
CTG45Y,Canon TG45 GPR30 Yellow Toner,149.2,Canon,CON-COPIER,0.906,TG45Y,"CANON IMAGERUNNER C5045,CANON IMAGERUNNER C5051,CANON IMAGERUNNER C5250,CANON IMAGERUNNER C5255","38,000 pages",Yellow,0.00346,CAN-COP,0.54,0.08,0.08,>5,>5,>5,0,>5,4.961E+12
CTG46B,Canon TG46 GPR31 Black Toner,87.85,Canon,CON-COPIER,1.04,TG46B,"CANON IMAGERUNNER C5030,CANON IMAGERUNNER C5035,CANON IMAGERUNNER C5235,CANON IMAGERUNNER C5240","36,000 pages",Black,0.00304,CAN-COP,0.54,0.075,0.075,>5,>5,>5,>5,>5,13803112948
CTG46C,Canon TG46 GPR31 Cyan Toner,137.6,Canon,CON-COPIER,0.73,TG46C,"CANON IMAGERUNNER C5030,CANON IMAGERUNNER C5035,CANON IMAGERUNNER C5235,CANON IMAGERUNNER C5240","27,000 pages",Cyan,0.00304,CAN-COP,0.54,0.075,0.075,>5,>5,>5,>5,>5,13803112955
CTG46M,Canon TG46 GPR31 Mag Toner,137.6,Canon,CON-COPIER,0.73,TG46M,"CANON IMAGERUNNER C5030,CANON IMAGERUNNER C5035,CANON IMAGERUNNER C5235,CANON IMAGERUNNER C5240","27,000 pages",Magenta,0.00304,CAN-COP,0.54,0.075,0.075,>5,>5,>5,>5,>5,13803112962
CTG46Y,Canon TG46 GPR31 Yellow Toner,137.6,Canon,CON-COPIER,0.73,TG46Y,"CANON IMAGERUNNER C5030,CANON IMAGERUNNER C5035,CANON IMAGERUNNER C5235,CANON IMAGERUNNER C5240","27,000 pages",Yellow,0.00304,CAN-COP,0.54,0.075,0.075,>5,>5,>5,>5,>5,13803112979
CTG48B,Canon TG48 GPR33 Black Toner,182.8,Canon,CON-COPIER,2.076,TG48B,"CANON IMAGERUNNER C7055,CANON IMAGERUNNER C7065","80,000 pages",Black,0.006,CAN-COP,0.6,0.1,0.1,>5,>5,>5,0,>5,4.961E+12
CTG48C,Canon TG48 GPR33 Cyan Toner,220.45,Canon,CON-COPIER,2.05,TG48C,"CANON IMAGERUNNER C7055,CANON IMAGERUNNER C7065","52,000 pages",Cyan,0.0054,CAN-COP,0.6,0.09,0.1,>5,2,>5,0,>5,13803113181
CTG48M,Canon TG48 GPR33 Mag Toner,220.45,Canon,CON-COPIER,2.05,TG48M,"CANON IMAGERUNNER C7055,CANON IMAGERUNNER C7065","52,000 pages",Magenta,0.0054,CAN-COP,0.6,0.09,0.1,>5,2,>5,0,>5,4.961E+12
CTG48Y,Canon TG48 GPR33 Yellow Toner,220.45,Canon,CON-COPIER,2.05,TG48Y,"CANON IMAGERUNNER C7055,CANON IMAGERUNNER C7065","52,000 pages",Yellow,0.0054,CAN-COP,0.6,0.09,0.1,>5,1,4,0,5,13803113204
CTG50,Canon TG50 GPR34 Black Toner,53.05,Canon,CON-COPIER,1.228,TG50,"CANON IMAGERUNNER 2535I,CANON IMAGERUNNER 2545I","19,400 pages",Black,0.00365,CAN-COP,0.45,0.09,0.09,0,>5,0,0,0,4.961E+12
CTG51,Canon TG51 GPR35 Black Toner,41.65,Canon,CON-COPIER,0.962,TG51,"CANON IMAGERUNNER 2520I,CANON IMAGERUNNER 2525I","14,600 pages",Black,0.00282,CAN-COP,0.44,0.08,0.08,>5,>5,5,0,>5,13803118025
CTG52B,Canon NPG52 GPR36 Black Toner,56.8,Canon,CON-COPIER,0.63,TG52B,"CANON IMAGERUNNER C2020,CANON IMAGERUNNER C2030,CANON IMAGERUNNER C2220,CANON IMAGERUNNER C2230","17,000 pages",Black,0.00196,CAN-COP,0.45,0.066,0.066,>5,>5,>5,0,>5,13803125030
CTG52C,Canon NPG52 GPR36 Cyan Toner,101.05,Canon,CON-COPIER,0.44,TG52C,"CANON IMAGERUNNER C2020,CANON IMAGERUNNER C2030,CANON IMAGERUNNER C2220,CANON IMAGERUNNER C2230","15,000 pages",Cyan,0.00157,CAN-COP,0.45,0.06,0.058,>5,>5,>5,0,>5,13803125047
CTG52M,Canon NPG52 GPR36 Mag Toner,101.05,Canon,CON-COPIER,0.44,TG52M,"CANON IMAGERUNNER C2020,CANON IMAGERUNNER C2030,CANON IMAGERUNNER C2220,CANON IMAGERUNNER C2230","15,000 pages",Magenta,0.00157,CAN-COP,0.45,0.06,0.058,>5,>5,>5,0,>5,13803125061
CTG52Y,Canon NPG52 GPR36 Yell Toner,101.05,Canon,CON-COPIER,0.44,TG52Y,"CANON IMAGERUNNER C2020,CANON IMAGERUNNER C2030,CANON IMAGERUNNER C2220,CANON IMAGERUNNER C2230","15,000 pages",Yellow,0.00157,CAN-COP,0.45,0.06,0.058,>5,>5,5,0,>5,13803125139
CTG53,Canon TG53 GPR37 Black Toner,96.1,Canon,CON-COPIER,3.04,TG53,"CANON IMAGERUNNER ADV 8085,CANON IMAGERUNNER ADV 8095,CANON IMAGERUNNER ADV 8105","70,000 pages",Black,0.00792,CAN-COP,0.495,0.125,0.128,>5,0,0,0,0,4.961E+12
CTG54,Canon TG54 GPR38 Black Toner,100.8,Canon,CON-COPIER,2.98,TG54,"CANON IMAGERUNNER ADV 6055,CANON IMAGERUNNER ADV 6065,CANON IMAGERUNNER ADV 6075","56,000 pages",Black,0.01138,CAN-COP,0.48,0.152,0.156,>5,4,0,0,5,13803113235
